"usuario","timestamp","cpu","ram","disco","uptime"
333,"2025-10-01 11:07:18.514206",2.3,83.8,74.6,436542.365894
333,"2025-10-01 11:07:29.113411",2.3,83.1,74.6,436552.968113
333,"2025-10-01 11:07:39.735780",3.4,82.9,74.6,436563.589419
333,"2025-10-01 11:07:50.377013",3,82.9,74.6,436574.232713
333,"2025-10-01 11:08:01.013357",3.6,82.9,74.6,436584.86786
333,"2025-10-01 11:08:11.620881",3.4,83.1,74.6,436595.477402
333,"2025-10-01 11:08:22.236340",4.6,82.9,74.6,436606.090266
333,"2025-10-01 11:08:32.845713",3.3,82.9,74.6,436616.700027
333,"2025-10-01 11:08:43.459458",3.9,82.5,74.6,436627.313889
333,"2025-10-01 11:08:54.073184",2.9,82.5,74.6,436637.927151
333,"2025-10-01 11:09:04.691766",2.8,82.4,74.6,436648.547625
333,"2025-10-01 11:09:15.307862",3.4,82.4,74.6,436659.162296
333,"2025-10-01 11:09:25.922471",3.8,82.5,74.6,436669.776906
333,"2025-10-01 11:09:36.536629",2,82.5,74.6,436680.391112
333,"2025-10-01 11:09:47.147680",2.5,82.5,74.6,436691.002374
333,"2025-10-01 11:09:57.749757",2.4,82.7,74.6,436701.604666
333,"2025-10-01 11:10:08.353453",5,83.1,74.6,436712.20982
333,"2025-10-01 11:10:19.020055",9.7,82.9,74.6,436722.874925
333,"2025-10-01 11:10:29.672401",2.1,83,74.6,436733.526232
333,"2025-10-01 11:10:40.310157",2.2,83,74.6,436744.163505
333,"2025-10-01 11:10:50.946508",2.2,83,74.6,436754.801242
333,"2025-10-01 11:11:01.574665",2.9,83,74.6,436765.430153
333,"2025-10-01 11:11:12.236972",3.3,82.9,74.6,436776.091721
333,"2025-10-01 11:11:22.910173",7.2,80.1,74.6,436786.764958
333,"2025-10-01 11:11:33.535660",3,80.2,74.6,436797.390238
333,"2025-10-01 11:11:44.164822",4.8,80.2,74.6,436808.019251
333,"2025-10-01 11:11:54.798022",3.1,80.2,74.6,436818.651695
333,"2025-10-01 11:12:05.420009",3.2,80,74.6,436829.274744
333,"2025-10-01 11:12:16.069442",3.7,80,74.6,436839.921011
333,"2025-10-01 11:12:26.674239",2.6,80,74.6,436850.52901
333,"2025-10-01 11:12:37.288929",3.1,80,74.6,436861.144087
333,"2025-10-01 11:12:47.910256",3.1,80,74.6,436871.764648
333,"2025-10-01 11:12:58.503540",2.5,80,74.6,436882.357984
333,"2025-10-01 11:13:09.117101",2.3,79.7,74.6,436892.971526
333,"2025-10-01 11:13:19.721726",2.6,79.8,74.6,436903.576107
333,"2025-10-01 11:13:30.337102",2.1,79.6,74.6,436914.191505
333,"2025-10-01 11:13:40.925685",2.2,79.6,74.6,436924.778993
333,"2025-10-01 11:13:51.523732",2.4,79.6,74.6,436935.37901
333,"2025-10-01 11:14:02.122399",2.2,79.6,74.6,436945.977727
333,"2025-10-01 11:14:12.720927",2.8,79.6,74.6,436956.574841
333,"2025-10-01 11:14:23.313369",4.6,79.5,74.6,436967.168776
333,"2025-10-01 11:14:33.930299",3,79.5,74.6,436977.782755
333,"2025-10-01 11:14:44.524560",2.9,79.6,74.6,436988.379774
333,"2025-10-01 11:14:55.125919",3,79.7,74.6,436998.98118
333,"2025-10-01 11:15:05.738625",2.9,79.6,74.6,437009.59023
333,"2025-10-01 11:15:16.333563",2.8,79.6,74.6,437020.187982
333,"2025-10-01 11:15:26.928851",2.7,79.6,74.6,437030.783332
333,"2025-10-01 11:15:37.521602",3,79.6,74.6,437041.376031
333,"2025-10-01 11:15:48.115411",3.2,79.6,74.6,437051.969431
333,"2025-10-01 11:15:58.704925",2.6,79.6,74.6,437062.556954
333,"2025-10-01 11:16:09.402169",3.8,80.1,74.6,437073.256311
333,"2025-10-01 11:16:20.034821",3.1,80.1,74.6,437083.888541
333,"2025-10-01 11:16:30.676788",2.6,80,74.6,437094.531472
333,"2025-10-01 11:16:41.296709",2.7,80,74.6,437105.151188
333,"2025-10-01 11:16:51.944838",3.3,80.1,74.6,437115.799257
333,"2025-10-01 11:17:02.562169",2.4,80.1,74.6,437126.416937
333,"2025-10-01 11:17:13.184804",2.9,80.1,74.6,437137.038958
333,"2025-10-01 11:17:23.827480",4.9,80,74.6,437147.681902
333,"2025-10-01 11:17:34.451318",2.7,80.1,74.6,437158.307702
333,"2025-10-01 11:17:45.082021",3.1,80.1,74.6,437168.936782
333,"2025-10-01 11:17:55.724781",3.8,80.1,74.6,437179.579092
333,"2025-10-01 11:18:06.326879",3,80.1,74.6,437190.181542
333,"2025-10-01 11:18:16.948999",3.1,80.1,74.6,437200.802649
333,"2025-10-01 11:18:27.565844",3.4,79.8,74.6,437211.419329
333,"2025-10-01 11:18:38.175553",2.9,79.7,74.6,437222.030891
333,"2025-10-01 11:18:48.781324",2.9,79.7,74.6,437232.635608
333,"2025-10-01 11:18:59.398283",2.9,79.8,74.6,437243.252994
333,"2025-10-01 11:19:10.021509",3.3,79.8,74.6,437253.876882
333,"2025-10-01 11:19:20.622856",3.3,79.7,74.6,437264.477548
333,"2025-10-01 11:19:31.238841",3.4,79.8,74.6,437275.094044
333,"2025-10-01 11:19:41.843222",2.9,79.8,74.6,437285.697518
333,"2025-10-01 11:19:52.450254",3.4,79.8,74.6,437296.304301
333,"2025-10-01 11:20:03.049350",2.3,79.8,74.6,437306.903804
333,"2025-10-01 11:20:13.638380",2.8,79.7,74.6,437317.492354
333,"2025-10-01 11:20:24.223129",4,79.6,74.6,437328.074997
333,"2025-10-01 11:20:34.814950",2,79.7,74.6,437338.669443
333,"2025-10-01 11:20:45.420039",2,79.7,74.6,437349.273162
333,"2025-10-01 11:20:56.018530",3.3,79.7,74.6,437359.872685
333,"2025-10-01 11:21:06.625149",2.5,79.7,74.6,437370.479505
333,"2025-10-01 11:21:17.212140",2.3,79.7,74.6,437381.063435
333,"2025-10-01 11:21:27.777171",2.2,79.7,74.6,437391.632496
333,"2025-10-01 11:21:38.387545",3.1,79.7,74.6,437402.242752
333,"2025-10-01 11:21:48.995392",5.1,79.7,74.6,437412.849771
333,"2025-10-01 11:21:59.605987",2.6,79.7,74.6,437423.461221
333,"2025-10-01 11:22:10.231164",3.6,79.7,74.6,437434.086491
333,"2025-10-01 11:22:20.860539",3.5,79.7,74.6,437444.714811
333,"2025-10-01 11:22:31.447742",2.6,79.6,74.6,437455.299796
333,"2025-10-01 11:22:42.046864",2.8,79.7,74.6,437465.900423
333,"2025-10-01 11:22:52.657586",3.4,79.7,74.6,437476.512922
333,"2025-10-01 11:23:03.267660",3.4,79.7,74.6,437487.122552
333,"2025-10-01 11:23:13.870737",3.1,79.7,74.6,437497.726149
333,"2025-10-01 11:23:24.478027",4.2,79.7,74.6,437508.332688
333,"2025-10-01 11:23:35.076848",2.9,79.6,74.6,437518.930642
